619:41243:Hotline
619:41244:Hybrid (biology)
619:41245:Hybrid balance
619:41246:Hybrid coil
619:41247:Hybrid routing
619:41248:Hydroxyl ion absorption
619:41249:Identification, friend or foe
619:41250:Identifier
619:41251:Image antenna
619:41252:Image frequency
619:41253:Image rejection ratio
619:41254:Improved-definition television
619:41255:Independent clock
619:41256:Index-matching material
619:41258:Inductive coupling
619:41259:Information-bearer channel
619:41260:Information system (2nd version)
619:41261:Information systems security
619:41262:Information-transfer transaction
619:41263:Injection laser diode
619:41264:Input
619:41265:Insertion gain
619:41266:Insertion loss
619:41267:Inside plant
619:41268:Intelligent Network
619:41269:Intensity modulation
619:41270:Intercept
619:41271:Interchangeability
619:41272:Interchange circuit
619:41273:Intercharacter interval
619:41274:Interconnect facility
619:41275:Interface
619:41276:Interface functionality
619:41277:Interface standard
619:41278:Interference filter
619:41279:Interlaced scanning
619:41280:Intermediate distribution frame
619:41281:Intermediate-field region
619:41282:Intermodulation distortion
619:41283:Internal memory
619:41284:IP address spoofing
619:41285:Interoperability
619:41286:Interposition trunk
619:41287:Intersymbol interference
619:41288:Inverse-square law
619:41289:Ionospheric reflection
619:41290:Ionospheric sounding
619:41291:Isochronous timing
619:41292:Isochronous burst transmission
619:41293:Isochronous signal
619:41294:Jam signal
619:41295:Jerkiness
619:41296:Jitter
619:41297:Joint multichannel trunking and switching system
619:41299:Justify
619:41300:Kendall effect
619:41301:Kerr electro-optic effect
619:41302:Key pulsing
619:41303:K-factor
619:41304:Knife-edge effect
619:41305:Label (disambiguation)
619:41306:Lambert's cosine law
619:41307:Landscape mode
619:41308:Launch angle
619:41309:Launch numerical aperture
619:41310:Layer
619:41311:Layered system
619:41312:Leaky mode
619:41313:Leaky ray
619:41314:Limiting
619:41316:Linear polarization
619:41317:Line code
619:41318:Network repeaters
619:41319:Link
619:41320:Link level
619:41321:Link quality analysis
619:41322:Lip synchronization
619:41323:Load
619:41325:Loading characteristic
619:41326:Loading coil
619:41327:Lobe
619:41328:Local access and transport area
619:41329:Local battery
619:41330:Local call
619:41332:Log-periodic antenna
619:41333:Long-haul communications
619:41334:Longitudinal redundancy check
619:41335:Longitudinal voltage
619:41336:Long-term stability
619:41337:Loop-back
619:41338:Loop gain
619:41340:LPD433
619:41341:Machine-readable medium
619:41342:Magneto-ionic double refraction
619:41343:Magneto-optic effect
619:41344:Main distribution frame
619:41345:Main lobe
619:41346:Main storage
619:41347:Maintainability
619:41348:Maintenance
140889:41349:Managed object
140889:41350:Manchester code
140889:41351:Mandrel wrapping
140889:41352:Margin
140889:41353:Maritime broadcast communications net
140889:41354:Master frequency generator
140889:41355:Master station
140889:41358:Maximal-ratio combining
140889:41359:Maximum usable frequency
140889:41360:Maximum user signaling rate
140889:41363:Mean time between outages
140889:41364:Mechanically induced modulation
140889:41365:Mediation function
140889:41366:Medium-power talker
140889:41367:Message
140889:41368:Message format
140889:41369:Micro-mainframe link
140889:41370:Minimum bend radius
140889:41371:Mixer
140889:41372:Sprague–Grundy theorem
140889:41373:Mode field diameter
140889:41374:Mode partition noise
140889:41375:Mode scrambler
140889:41376:Mode volume
140889:41377:Modification of Final Judgment
140889:41378:Modified AMI code
140889:41379:Modulation factor
140889:41380:Modulation rate
140889:41382:Μ-law algorithm
140889:41383:Multicast address
140889:41384:Multilevel precedence and preemption
140889:41385:Multipath propagation
140889:41386:Multiple access
140889:41387:Multiple homing
140889:41388:Multiplex baseband
140889:41389:Multiplexing
140889:41390:Multiport repeater
140889:41391:Narrative traffic
140889:41392:Narrowband modem
140889:41394:National Communications System
140889:41395:National Electric Code
140889:41396:National Information Infrastructure
140889:41397:Near-field diffraction pattern
140889:41398:Near-field region
140889:41399:Near real-time
140889:41400:Negative-acknowledge character
140889:41402:Neper
140889:41403:Net gain (telecommunications)
140889:41404:Net operation
140889:41405:Network administration
140889:41406:Network architecture
140889:41407:Network engineering
140889:41408:Network interface
140889:41409:Network interface device
140889:41410:Network management
140889:41411:Network operating system
140889:41413:Network topology
140889:41414:Neutral direct-current telegraph system
140889:41415:Noise
140889:41416:Noise-equivalent power
140889:41417:Noise figure
140889:41418:Noise level
140889:41419:Noise power
140889:41420:Noise temperature
140889:41421:Noise weighting
140889:41422:Noisy black
140889:41423:Noisy white
140889:41425:Non-return-to-zero
140889:41426:Normalized frequency
140889:41427:NS/EP telecommunications
140889:41428:N-entity
140889:41430:NTSC standard
140889:41431:Nuclear hardness
140889:41432:Numerical aperture
140889:41434:Nyquist interval
140889:41435:Nyquist rate
140889:41436:Nyquist's theorem
140889:41437:Off-axis optical system
140889:41438:On- and off-hook
140889:41439:Office classification
140889:41440:Online and offline
140889:41442:One-way trunk
140889:41443:On-hook
140889:41444:On-line
140889:41445:On-premises wiring
140889:41448:Open network architecture
140889:41449:Open systems architecture
140889:41450:Open Systems Interconnection Specification
140889:41451:Open Systems Interconnection--Reference Model
140889:41453:Operation
140889:41455:Optical attenuator
140889:41456:Optical axis
140889:41457:Optical density
140889:41458:Optical disc
140889:41459:Normandie-Niemen
140889:41460:Optical isolator
140889:41461:Optical path length
140889:41462:Optical power budget
140889:41463:Optical power margin
140889:41464:Visible spectrum
285433:41465:Optical switch
285433:41466:Optical time-domain reflectometer
285433:41467:Optoelectronic
